sid	009B	012B	020B	026B	028B	035B	061B	068B	069B	072B	078B	087B	093B	100B	103B	108B	109B	126B	128B	142B
Structural|Genetic_information_processing|Ribosome|Ribosome,_bacteria	55330.6497312	38640.664901	43742.6376923	43644.5119293	46014.9476327	36393.4745274	38465.1506546	54753.4090305	28699.369822	43798.8962172	37581.8368152	48105.7792303	31809.2020413	43137.9429579	37900.5234047	39580.3525257	38254.9422259	39694.0004649	56056.1369225	32930.4770144
Structural|Genetic_information_processing|RNA_polymerase|RNA_polymerase,_bacteria	19173.9217373	10999.9132481	16777.7470406	12830.0232493	11702.2114546	23622.2642929	4266.72007084	6963.31265814	12145.7467097	12616.4543346	9569.69347512	13256.1475329	7789.67313536	13523.7135253	13270.4205957	15613.5384197	10830.7633285	18444.3124649	13142.397638	11650.6579896
Structural|Environmental_information_processing|Mineral_and_organic_ion_transport_system|Sulfate_transport_system	7298.79176232	18773.2851572	2529.6761542	3982.55788968	3654.01127114	7122.21451525	752.203616076	1168.5431996	4857.733895	2117.23873116	2813.25486314	3099.55366008	2099.22675608	5870.45307291	3887.89175621	3259.57312463	3545.13872302	2066.83574215	1822.51862094	1540.05980225
Structural|Environmental_information_processing|Mineral_and_organic_ion_transport_system|Molybdate_transport_system	5320.5005437	5711.6885829	2014.73795579	4221.91586638	4132.90872792	5968.55505837	1487.94069386	2338.92119577	5635.25224792	3640.0582183	2808.29562923	3901.50230926	3751.65570707	3442.47862814	5208.50564744	5494.28191709	4688.05365338	2570.32266234	3947.50061167	3827.86389964
Structural|Environmental_information_processing|Mineral_and_organic_ion_transport_system|Putative_spermidine/putrescine_transport_system	491.064239646	508.793678075	285.99934174	1570.11196952	510.401722082	435.300805948	196.363516629	181.613297045	917.281628583	819.824086102	1467.02800842	1607.24693609	1076.07441705	326.094639158	407.156703455	3240.84155249	576.159300211	364.945772151	599.145303988	1075.32813902
Structural|Environmental_information_processing|Saccharide_and_polyol_transport_system|Maltose/maltodextrin_transport_system	10865.7604005	8576.79485525	3822.63095114	5397.58210317	5181.09843603	7365.22684992	1055.03908873	2433.20055416	5545.16139875	3400.23002251	3348.51105584	6386.8019237	3010.19425286	5817.24738666	6734.76940947	12488.7615562	4860.54791583	7876.81921584	3903.86400801	3215.66251361
Structural|Environmental_information_processing|Saccharide_and_polyol_transport_system|Putative_fructooligosaccharide_transport_system	14417.3128831	10655.4999362	5227.56650186	6984.19061778	6730.38806545	9707.59092624	1458.66451913	2823.67727461	6443.44144629	4189.80496725	4342.2262619	8432.32670195	3743.04138154	7572.80218269	8748.04185356	14305.4069884	6190.11926825	8325.64900451	5262.67177206	3924.95380803
Structural|Environmental_information_processing|Saccharide_and_polyol_transport_system|Putative_sn-glycerol-phosphate_transport_system	1209.44220783	546.385475391	1092.27283747	771.928219336	711.801359009	598.563318081	185.669342528	225.750841865	640.538529161	454.212618674	887.90692528	1457.26288507	310.400614078	1061.91464737	1904.07567783	791.343439239	497.303251257	373.1007786	871.522113147	1208.29045113
Structural|Environmental_information_processing|Saccharide_and_polyol_transport_system|L-Arabinose/lactose_transport_system	2489.1821382	3041.93471559	1542.94307572	2774.38013701	2039.55262814	4374.31964072	638.15006908	352.535046588	4411.3814574	1816.20725073	1971.55470491	849.905797177	2662.58155369	2042.95650145	3928.47913453	1368.5735381	1109.60008555	2023.25878149	1450.77053044	982.73703265
Structural|Environmental_information_processing|Saccharide_and_polyol_transport_system|Oligogalacturonide_transport_system	962.850642125	384.137658284	356.123749554	384.643158348	261.738976621	1433.21982678	319.170070107	0.555197149004	377.445584117	222.191718976	440.488098285	605.920417857	131.703816194	312.820928143	287.575285179	462.432893935	222.853095655	156.48595839	4.52960413604	122.932065426
Structural|Environmental_information_processing|Saccharide_and_polyol_transport_system|Cellobiose_transport_system	140.390806866	86.3752132969	1.68620229246	2.66262400026	87.6088691715	104.322547292	11.8956312807	0.319648244664	33.9225537723	66.9847832833	0.000131863281058	9.62804901021	0.382231341442	107.012806866	106.518851633	0.42398804763	305.50318938	27.3099408695	1.26462239387e-07	3.85060661105e-05
Structural|Environmental_information_processing|Saccharide_and_polyol_transport_system|Putative_multiple_sugar_transport_system	11595.2131604	6663.61196606	4012.18491506	5742.64194255	3614.59166724	7027.05500091	1742.91581119	1965.52619895	6075.8579939	3452.96104341	4644.16952835	4499.80068311	2789.28865945	4072.66758833	6020.24380343	3826.87388355	5117.44465114	2488.52058076	4168.28473642	3370.27849507
Structural|Environmental_information_processing|Phosphate_and_amino_acid_transport_system|Phosphate_transport_system	26860.1238154	23014.9977283	21062.2690053	19704.169388	15402.9546252	23945.238094	7730.9264173	10678.1345662	23639.3431329	10307.5906889	14491.0329131	19418.5619255	17185.0430179	21702.6797994	18956.1792847	16134.9033482	15040.5544916	12539.2820995	13234.517878	18793.7839955
Structural|Environmental_information_processing|Phosphate_and_amino_acid_transport_system|Arginine_transport_system	0.0258365483647	11.0532755226	1.9850176333	51.7249066764	40.9797572576	11.095378049	1.32819712097	2.98922395378	4.12618794669	397.189289492	98.367852457	0.229742224191	17.6767424159	0.00410622597788	0.184115199699	751.896202498	0.946533003331	20.4331425964	166.589376097	333.33212782
Structural|Environmental_information_processing|Phosphate_and_amino_acid_transport_system|Glutamate/aspartate_transport_system	0.763006453574	0.00814603013589	68.7783366703	9.77889961036	90.5108569649	23.1643544946	33.1129366003	441.255811932	106.142796539	87.7520600555	53.3978060089	0.586288616095	9.93490608774	18.75857939	881.127370752	348.999308134	117.98984415	14.3277990584	613.10661951	395.49745365
Structural|Environmental_information_processing|Phosphate_and_amino_acid_transport_system|General_L-amino_acid_transport_system	5.35519987534	1.19488257299	101.640969605	22.4059467386	3.00404894441	110.880317775	61.8301465578	306.89617928	0.683978411876	189.999416604	140.898636151	7.79311462705	839.271129512	263.698718767	963.097940235	425.085616358	164.647760154	285.673879126	647.200369238	315.267017255
Structural|Environmental_information_processing|Phosphate_and_amino_acid_transport_system|Glutamate_transport_system	478.939179722	0.000157779546496	0.471725312289	1772.16789364	157.259380685	229.335230535	252.158328368	56.7169908384	1196.61513995	1079.82486177	1631.80362133	391.00323396	797.998754736	242.3353446	402.368998712	0.0382182310837	380.376964166	0.0162522230189	69.9406392551	1036.72756061
Structural|Environmental_information_processing|Phosphate_and_amino_acid_transport_system|Branched-chain_amino_acid_transport_system	18403.7887417	4825.03563693	5537.41462454	8764.02086301	6621.33590014	8398.81214908	2744.38690851	1540.55080552	4355.75100463	5971.10583778	7970.55122161	15970.7151657	2725.41672487	4648.66964269	6678.933404	9788.96697012	7367.21104853	8492.46053804	4154.55320033	4259.79680702
Structural|Environmental_information_processing|Peptide_and_nickel_transport_system|Peptides/nickel_transport_system	15907.8619536	6364.32383682	6005.33648127	11423.0950514	5941.61417525	8777.68386173	3221.12627862	2414.05648959	6999.45721053	7159.49388576	8957.83841165	10158.0969947	4076.3391515	6636.4913881	10863.9821471	8165.87625599	8306.30008779	3040.64499885	5955.20221058	6508.93339693
Structural|Environmental_information_processing|Metallic_cation,_iron-siderophore_and_vitamin_B12_transport_system|Cobalt_transport_system	2346.53319864	1842.49095358	3005.99712624	3727.65827991	1402.36687232	1891.51151871	1129.32577697	785.245886674	2311.46347209	1971.08033462	1202.67546575	1133.09425179	898.731330542	3123.4848021	2691.9514064	2384.70350602	2734.8238844	1464.9626501	1680.94233977	2822.52546151
Structural|Environmental_information_processing|Metallic_cation,_iron-siderophore_and_vitamin_B12_transport_system|Nickel_transport_system	2346.53319864	1842.49095358	3005.99712624	3727.65827991	1402.36687232	1891.51151871	1129.32577697	785.245886674	2311.46347209	1971.08033462	1202.67546575	1133.09425179	898.731330542	3123.4848021	2691.9514064	2384.70350602	2734.8238844	1464.9626501	1680.94233977	2822.52546151
Structural|Environmental_information_processing|Phosphotransferase_system_(PTS)|PTS_system,_trehalose-specific_II_component	2916.24880591	1277.67764807	985.875932159	859.330480667	1385.53339952	1049.21553846	273.076785735	424.101586972	1187.74585239	1451.82000812	1027.40032583	1549.05815278	290.328248308	917.71321223	1793.22759114	1332.78640867	1711.12935568	502.723491604	1052.88203205	1715.55659081
Structural|Environmental_information_processing|Phosphotransferase_system_(PTS)|PTS_system,_mannose-specific_II_component	2232.14861637	1429.08461479	886.196432794	1865.56201878	1865.59004909	1417.73042873	281.016335773	1887.86581036	1302.5901297	2085.81383562	1742.91263842	2446.74049114	419.351669004	674.698482618	1911.83104452	1540.44401716	2416.77495806	1267.09603798	879.955829425	2640.86355164
Structural|Environmental_information_processing|Phosphotransferase_system_(PTS)|PTS_system,_N-acetylgalactosamine-specific_II_component	1135.90594576	602.412172536	481.285384082	683.280370724	1209.94919437	969.752481215	187.190830454	729.54827986	582.45614013	509.349497905	476.852053793	1641.66428806	77.7976022635	184.340820206	752.718448332	319.395709313	372.11015638	99.3745554634	397.883879566	227.384662894
Structural|Environmental_information_processing|Phosphotransferase_system_(PTS)|PTS_system,_galactosamine-specific_II_component	1258.93949238	315.044369221	20.5885110881	379.138717717	125.947025274	212.195113914	445.039002841	588.807910651	43.4340404859	381.344827285	183.224308117	185.243879076	51.1557004811	364.134514437	39.5595701494	3.78043055955	70.7029573527	0.00186277425096	430.96343797	0.0143108938027
Structural|Environmental_information_processing|Mineral_and_organic_ion_transport_system|Spermidine/putrescine_transport_system	24051.252667	20009.9620224	22984.5557203	20990.6256407	26383.5783197	19710.0547705	33210.0961516	18364.5397644	21328.2569546	21799.8654477	26854.3391672	22646.9364557	20353.694307	20681.9031065	22430.1769104	22420.7576076	23462.1006144	17202.0418331	17002.4495401	22878.1701447
Structural|Environmental_information_processing|Mineral_and_organic_ion_transport_system|Putrescine_transport_system	744.623246362	482.430328647	281.076759722	397.818701371	440.030497154	439.778106152	129.691760442	26.6525043803	241.967108719	293.585865259	337.800396456	1568.19483587	207.310141403	473.638133822	489.912906141	3176.15300538	379.952481694	4344.85908154	678.005843274	153.870187964
Pathway|Carbohydrate_and_lipid_metabolism|Central_carbohydrate_metabolism|Pyruvate_oxidation,_pyruvate_=>_acetyl-CoA	4040.56702714	954.531615911	3875.31211577	5883.46886997	1064.63916176	1396.93871699	1193.90927247	475.324605413	887.243904092	1983.34083251	1120.16388285	3427.20997558	1325.67378933	3643.20092149	2754.71073589	3817.24834588	1902.41988189	5328.13977729	3545.8181003	1895.51995142
Structural|Carbohydrate_and_lipid_metabolism|Carbohydrate_metabolism|Pyruvate:ferredoxin_oxidoreductase	4068.86429671	419.707421262	4112.68319595	6086.65708684	1132.68883347	1514.44991234	443.562749786	476.419206044	476.92858671	908.323303445	1297.12635536	2758.49913226	1330.39368644	3672.5524551	3051.94119741	4424.80429271	930.118037342	5905.09683621	3587.64701959	529.166637678
Structural|Carbohydrate_and_lipid_metabolism|Carbohydrate_metabolism|2-oxoglutarate:ferredoxin_oxidoreductase	17277.1356728	11462.9484118	18317.8897284	16844.652655	22001.0293835	12737.1006469	32813.402114	30588.2846868	17114.2536606	20581.6819653	25073.9428327	21377.8972702	26375.2864407	16339.7007102	18590.0367935	14206.2790657	21762.8186462	22689.1806152	22280.9503584	19109.6690367
Structural|Carbohydrate_and_lipid_metabolism|Carbohydrate_metabolism|2-oxoisovalerate:ferredoxin_oxidoreductase	548.865870719	4.51219837856	51.4536302519	17.3126573149	132.631005727	8.26992584864	20.5521316831	74.3904028036	0.024411787516	72.7675351327	1.12854720243	247.179730277	0.976011345593	127.862671662	164.405274417	55.5802588522	96.9823087019	30.7933500301	1.33897219059e-09	0.915248201253
Structural|Environmental_information_processing|Metallic_cation,_iron-siderophore_and_vitamin_B12_transport_system|Manganese/zinc/iron_transport_system	0.0236482653239	876.46344567	55.4059485677	18.5356504607	89.7593775016	0.567153524607	1.25979105998	2.55040276786	243.958997634	408.146097298	22.0030870849	934.26120261	7.57698102903e-07	0.0225508174898	1.14343075443	180.812181574	251.434383449	0.00135001099702	8.45206922697e-14	1758.05442314
Structural|Environmental_information_processing|Peptide_and_nickel_transport_system|Dipeptide_transport_system	647.800670337	247.509899765	208.535002615	432.418978118	300.253000058	330.877360347	126.200504916	23.4612351322	241.601092416	553.235287606	374.864097975	406.459602543	209.19784684	300.789731367	389.963304104	1073.17483043	342.590560824	136.899384409	493.912817496	468.884223625
Structural|Environmental_information_processing|Bacterial_secretion_system|Sec_(secretion)_system	136.360398809	76.2702930884	547.662869215	1022.61492824	516.243850727	731.785912774	580.426572608	1272.07036447	451.285645781	2968.85071002	980.261440222	3936.61649462	3815.901883	1400.64361026	3175.14493094	9803.94715579	849.500710912	11512.1839307	2901.18670479	2579.1111018
Structural|Environmental_information_processing|Bacterial_secretion_system|Twin-arginine_translocation_(Tat)_system	342.690528582	22.4389488968	141.045674987	1487.38944214	275.008351323	199.083172413	159.747215314	57.8277834316	271.108994718	874.680311662	521.74869138	416.768273853	562.989521872	638.05543471	1276.9676922	1069.073476	301.426984852	272.63098605	731.780215033	1587.58637789
Pathway|Energy_metabolism|Methane_metabolism|Formaldehyde_assimilation,_ribulose_monophosphate	1644.26384757	0.0387229328705	371.962865933	973.011157426	403.703035626	107.387060909	183.773470378	233.854384263	1518.47825176	1239.78626253	2247.80958413	1351.19077202	411.128574812	219.898558734	1236.44928574	1007.97398127	680.696147437	0.806190168631	291.850697404	757.854168624
Structural|Environmental_information_processing|Peptide_and_nickel_transport_system|Glutathione_transport_system	768.696679827	275.30500161	635.828569651	501.095517082	370.724347498	411.725365684	198.214680307	444.813797034	857.170279552	324.639820945	414.423936177	542.750908222	169.776608006	313.56132304	549.031146968	367.061749504	514.582594586	100.119787572	414.542183646	278.262841597
Functional|Metabolism|Aminoacyl_tRNA|Aminoacyl-tRNA_biosynthesis,_eukaryotes	50842.1326666	36432.2621821	40444.9548571	41621.1628467	43775.6339339	32489.9939481	50480.9040598	46681.5756553	28053.9224763	40620.2016634	43118.2931617	43605.2220871	43051.9768881	38894.5595857	43746.7526296	42211.7440491	42299.2878422	44988.3661035	48783.890346	31304.1697949
Functional|Metabolism|Aminoacyl_tRNA|Aminoacyl-tRNA_biosynthesis,_prokaryotes	50867.7621259	36622.8332478	40775.2003048	41941.4391167	43744.1961335	33020.9591459	50526.9861411	46686.4578321	28255.3809116	40765.4360951	43369.9718935	43770.0178062	43138.6389517	39006.3225292	43937.5470155	42201.2998058	42398.3895627	44923.627985	48898.0939841	31510.4137275
Functional|Metabolism|Nucleotide_sugar|Nucleotide_sugar_biosynthesis,_eukaryotes	5907.30660214	8219.20357445	5620.22903441	7013.87901439	5157.21765986	5960.77527966	1670.77210475	2536.19849245	6141.61289461	4187.60709184	3066.42433536	5047.07345624	4596.9179809	6384.08115582	7575.18992351	7531.45901481	5893.85523434	9523.00822582	7831.30860632	3017.29473487
Functional|Metabolism|Nucleotide_sugar|Nucleotide_sugar_biosynthesis,_prokaryotes	80.0106494026	176.466529647	304.02313496	691.828920796	125.410752734	48.1389914384	82.1361285862	61.0914484923	119.734346956	1.55829693787	118.641371342	1.54846026071	129.780688305	420.970083291	294.818737995	7.55822040069	2.03079293097	0.230901116595	4.55114399268e-14	324.547224594
Pathway|Carbohydrate_and_lipid_metabolism|Terpenoid_backbone_biosynthesis|C10-C20_isoprenoid_biosynthesis,_bacteria	1854.97346821	279.201067639	978.101341459	1458.39871267	792.158100098	746.534043406	650.841595215	586.360523839	897.674163489	1911.48984713	1820.40349974	2919.24659492	1278.17069962	799.307628083	1021.19982125	1668.25053518	1726.24675217	304.206724196	956.026437974	1481.11534956
